region,lo,sex,grp,det,yr,n
East Midlands,0,Female,Asian,Bangladeshi,2011,761
East Midlands,0,Female,Asian,Chinese,2011,430
East Midlands,0,Female,Asian,Indian,2011,5532
East Midlands,0,Female,Asian,Other Asian,2011,1619
East Midlands,0,Female,Asian,Pakistani,2011,2740
East Midlands,0,Female,Black,African,2011,2285
East Midlands,0,Female,Black,Caribbean,2011,505
East Midlands,0,Female,Black,Other Black,2011,766
East Midlands,0,Female,Mixed,Other Mixed or Multiple ethnic groups,2011,1328
East Midlands,0,Female,Mixed,White and Asian,2011,1960
East Midlands,0,Female,Mixed,White and Black African,2011,1002
East Midlands,0,Female,Mixed,White and Black Caribbean,2011,3071
East Midlands,0,Female,Other,Any other ethnic group,2011,688
East Midlands,0,Female,Other,Arab,2011,592
East Midlands,0,Female,White,"English, Welsh, Scottish, Northern Irish or British",2011,103378
East Midlands,0,Female,White,Gypsy or Irish Traveller,2011,151
East Midlands,0,Female,White,Irish,2011,173
East Midlands,0,Female,White,Other White,2011,5421
East Midlands,0,Male,Asian,Bangladeshi,2011,787
East Midlands,0,Male,Asian,Chinese,2011,510
East Midlands,0,Male,Asian,Indian,2011,5640
East Midlands,0,Male,Asian,Other Asian,2011,1632
East Midlands,0,Male,Asian,Pakistani,2011,2779
East Midlands,0,Male,Black,African,2011,2493
East Midlands,0,Male,Black,Caribbean,2011,506
East Midlands,0,Male,Black,Other Black,2011,724
East Midlands,0,Male,Mixed,Other Mixed or Multiple ethnic groups,2011,1337
East Midlands,0,Male,Mixed,White and Asian,2011,2054
East Midlands,0,Male,Mixed,White and Black African,2011,1015
East Midlands,0,Male,Mixed,White and Black Caribbean,2011,3248
East Midlands,0,Male,Other,Any other ethnic group,2011,570
East Midlands,0,Male,Other,Arab,2011,600
East Midlands,0,Male,White,"English, Welsh, Scottish, Northern Irish or British",2011,107810
East Midlands,0,Male,White,Gypsy or Irish Traveller,2011,158
East Midlands,0,Male,White,Irish,2011,234
East Midlands,0,Male,White,Other White,2011,5675
East Midlands,5,Female,Asian,Bangladeshi,2011,811
East Midlands,5,Female,Asian,Chinese,2011,385
East Midlands,5,Female,Asian,Indian,2011,4888
East Midlands,5,Female,Asian,Other Asian,2011,1402
East Midlands,5,Female,Asian,Pakistani,2011,2446
East Midlands,5,Female,Black,African,2011,1854
East Midlands,5,Female,Black,Caribbean,2011,538
East Midlands,5,Female,Black,Other Black,2011,700
East Midlands,5,Female,Mixed,Other Mixed or Multiple ethnic groups,2011,917
East Midlands,5,Female,Mixed,White and Asian,2011,1508
East Midlands,5,Female,Mixed,White and Black African,2011,645
East Midlands,5,Female,Mixed,White and Black Caribbean,2011,2657
East Midlands,5,Female,Other,Any other ethnic group,2011,470
East Midlands,5,Female,Other,Arab,2011,477
East Midlands,5,Female,White,"English, Welsh, Scottish, Northern Irish or British",2011,97813
East Midlands,5,Female,White,Gypsy or Irish Traveller,2011,145
East Midlands,5,Female,White,Irish,2011,235
East Midlands,5,Female,White,Other White,2011,3188
East Midlands,5,Male,Asian,Bangladeshi,2011,753
East Midlands,5,Male,Asian,Chinese,2011,368
East Midlands,5,Male,Asian,Indian,2011,5266
East Midlands,5,Male,Asian,Other Asian,2011,1386
East Midlands,5,Male,Asian,Pakistani,2011,2659
East Midlands,5,Male,Black,African,2011,1867
East Midlands,5,Male,Black,Caribbean,2011,567
East Midlands,5,Male,Black,Other Black,2011,657
East Midlands,5,Male,Mixed,Other Mixed or Multiple ethnic groups,2011,950
East Midlands,5,Male,Mixed,White and Asian,2011,1576
East Midlands,5,Male,Mixed,White and Black African,2011,714
East Midlands,5,Male,Mixed,White and Black Caribbean,2011,2597
East Midlands,5,Male,Other,Any other ethnic group,2011,476
East Midlands,5,Male,Other,Arab,2011,454
East Midlands,5,Male,White,"English, Welsh, Scottish, Northern Irish or British",2011,102489
East Midlands,5,Male,White,Gypsy or Irish Traveller,2011,159
East Midlands,5,Male,White,Irish,2011,220
East Midlands,5,Male,White,Other White,2011,3327
East Midlands,10,Female,Asian,Bangladeshi,2011,816
East Midlands,10,Female,Asian,Chinese,2011,559
East Midlands,10,Female,Asian,Indian,2011,6114
East Midlands,10,Female,Asian,Other Asian,2011,1414
East Midlands,10,Female,Asian,Pakistani,2011,2542
East Midlands,10,Female,Black,African,2011,1887
East Midlands,10,Female,Black,Caribbean,2011,868
East Midlands,10,Female,Black,Other Black,2011,614
East Midlands,10,Female,Mixed,Other Mixed or Multiple ethnic groups,2011,946
East Midlands,10,Female,Mixed,White and Asian,2011,1497
East Midlands,10,Female,Mixed,White and Black African,2011,562
East Midlands,10,Female,Mixed,White and Black Caribbean,2011,2885
East Midlands,10,Female,Other,Any other ethnic group,2011,453
East Midlands,10,Female,Other,Arab,2011,306
