"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Gender","Age","Qualification","Value","Value_type","Denominator","Numerator","Upper 95% C.I.","Lower 95% C.I."
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","89","%","5258672","4680660","89.4","88.6"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","86.9","%","65297","56746","93.8","80.1"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","89.8","%","485907","436519","92","87.7"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","83.6","%","172195","143883","88.1","79"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","84.6","%","167569","141770","89","80.2"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","87.4","%","890968","778918","89.2","85.7"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","88.8","%","6153963","5463091","89.1","88.4"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 3","84.3","%","3197019","2694618.5","84.9","83.7"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 3","76.6","%","26185.5","20068.5","89.6","63.7"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 3","80.5","%","114614.5","92220.5","86.2","74.7"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 3","71.9","%","52958.5","38075","82","61.8"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 3","76.2","%","29417.5","22404.5","89","63.4"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 3","77.4","%","223176","172768.5","81.8","73"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 3","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 3","83.8","%","3421565","2868346","84.4","83.3"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 2","78.6","%","2892278","2273427.5","79.3","77.9"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 2","64.2","%","29181.5","18733.5","78.2","50.2"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 2","71.1","%","128664.5","91434.5","77.3","64.8"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 2","69.9","%","61185.5","42793","79.7","60.2"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 2","72","%","29454.5","21201.5","85.3","58.7"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 2","70.1","%","248486","174162.5","74.7","65.5"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 2","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Level 2","77.9","%","3141463","2447855","78.6","77.3"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Below Level 2","74.7","%","1956937","1461555","75.6","73.8"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Below Level 2","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Below Level 2","71.6","%","90213","64565","78.7","64.4"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Below Level 2","62.5","%","49992","31237","74.1","50.8"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Below Level 2","?","%","?","?","?","?"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Below Level 2","66.6","%","176954","117925","72.2","61.1"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","NQF Below Level 2","?","%","?","?","?","?"
